Name,City,Experience,Employment,Salary
Web-Developer,Ташкент,От 1 года до 3 лет,Полная занятость,86450.0
Python junior разработчик,Санкт-Петербург,Нет опыта,Полная занятость,50000
Junior программист Python,,От 1 года до 3 лет,Полная занятость,70000.0
Junior-разработчик,Москва,Нет опыта,Полная занятость,60000
Junior Frontend - разработчик,Екатеринбург,Нет опыта,Полная занятость,50000
Младший (junior) программист Python,Воронеж,Нет опыта,Полная занятость,57900.0
Junior-разработчик,Москва,Нет опыта,Полная занятость,60000
Junior-разработчик,Москва,Нет опыта,Полная занятость,60000
Программист на языке Python,Жуковский,Нет опыта,Частичная занятость,40000.0
Junior Python разработчик,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,60000
Junior IT-specialist,Алматы,От 1 года до 3 лет,Полная занятость,275000.0
Разработчик нейросетевых алгоритмов / Data Scientist,Москва,Нет опыта,Полная занятость,135000.0
Junior Developer ИИ,Санкт-Петербург,Нет опыта,Полная занятость,80000
Программист,Новосибирск,Нет опыта,Полная занятость,40000
Junior-разработчик,Москва,Нет опыта,Полная занятость,60000
Junior Fullstack разработчик,Москва,Нет опыта,Полная занятость,70000
"Back-end разработчик Python, Django",Челябинск,От 1 года до 3 лет,Полная занятость,70000.0
Junior / Middle разработчик,Москва,Нет опыта,Полная занятость,70000.0
Аналитик,Москва,Нет опыта,Полная занятость,70000.0
Бэкенд-разработчик Python,Москва,От 1 года до 3 лет,Полная занятость,85000.0
Программист,Москва,Нет опыта,Полная занятость,250000
Trainee/Intern/Junior Python backend developer,Санкт-Петербург,Нет опыта,Стажировка,35000.0
Junior-разработчик,Москва,Нет опыта,Полная занятость,60000
Python Developer,Ростов-на-Дону,От 1 года до 3 лет,Полная занятость,45000
Frontend-разработчик,Нур-Султан (Астана),От 1 года до 3 лет,Полная занятость,500000
Junior SQL developer,Санкт-Петербург,Нет опыта,Полная занятость,50000
Junior Разработчик на SAS RTDM (стажер),Иннополис,Нет опыта,Стажировка,40000
Программист-разработчик,Уфа,От 1 года до 3 лет,Полная занятость,100000.0
Разработчик Odoo (Python),Москва,От 1 года до 3 лет,Полная занятость,115000.0
"Бэкэнд - разработчик (python - ""удаленка"" исключена)",сельский посёлок Кудьма,Нет опыта,Полная занятость,100000.0
Jun+/Middle Python разработчик,Москва,От 1 года до 3 лет,Полная занятость,125000.0
Стажер-программист Python,Тюмень,Нет опыта,Стажировка,17000.0
Junior Backend-разработчик,Екатеринбург,Нет опыта,Полная занятость,50000
Frontend-разработчик,,От 1 года до 3 лет,Полная занятость,70000
Junior Java Developer,Москва,Нет опыта,Полная занятость,60000.0
Junior-разработчик,Москва,Нет опыта,Полная занятость,60000
Junior-разработчик,Москва,Нет опыта,Полная занятость,60000
"Back-end developer (Django, Python)",,От 3 до 6 лет,Полная занятость,125000.0
Junior QA-инженер (тестировщик),Нижний Новгород,От 1 года до 3 лет,Полная занятость,50000
Manual QA engineer,Москва,От 1 года до 3 лет,Полная занятость,80000
Middle Front-End Developer,Ташкент,От 3 до 6 лет,Полная занятость,56000.0
Middle Python Backend Developer,Москва,От 1 года до 3 лет,Полная занятость,180000
"Backend developer (Python, PHP)",Новосибирск,От 1 года до 3 лет,Полная занятость,130000.0
Middle React Frontend Developer,Ростов-на-Дону,От 3 до 6 лет,Полная занятость,160000.0
Программист Python (ИИ),Санкт-Петербург,Нет опыта,Полная занятость,100000
Начинающий программист,Екатеринбург,От 1 года до 3 лет,Полная занятость,25000.0
"Программист Python, С, С++",Уфа,От 1 года до 3 лет,Полная занятость,70000
QA Engineer / Инженер-тестировщик ПО (проектная работа),Москва,От 3 до 6 лет,Проектная работа,175000.0
Аналитик данных,,От 1 года до 3 лет,Полная занятость,180000
Администратор Linux (хостинг и vps),Москва,Более 6 лет,Полная занятость,370000
Middle Python developer (FastAPI),Москва,От 1 года до 3 лет,Полная занятость,215000.0
Программист / Backend-разработчик (Junior / Junior + / Middle),Санкт-Петербург,От 1 года до 3 лет,Полная занятость,75000.0
Web-программист Python,Электросталь,От 1 года до 3 лет,Стажировка,50000
Backend-разработчик,Краснодар,От 1 года до 3 лет,Полная занятость,130000
Программист-математик,Красноярск,Нет опыта,Полная занятость,45000.0
Младший Data-инженер,Москва,От 1 года до 3 лет,Полная занятость,103000
Python-разработчик (Django),Москва,От 1 года до 3 лет,Полная занятость,180000
Стажер-разработчик Python,Саратов,Нет опыта,Стажировка,60000
Frontend-разработчик,Санкт-Петербург,От 3 до 6 лет,Полная занятость,105000.0
Программист 1С\Python Junior,Тюмень,От 1 года до 3 лет,Полная занятость,60000.0
С++ Junior разработчик,Барнаул,Нет опыта,Полная занятость,40000.0
Chief Technology Officer/CTO,Москва,Более 6 лет,Полная занятость,1000000.0
No-code разработчик (без опыта),Москва,Нет опыта,Полная занятость,60000
Python Developer,Лондон,От 1 года до 3 лет,Полная занятость,198000
Python-разработчик (Junior),Санкт-Петербург,От 1 года до 3 лет,Полная занятость,80000.0
Программист Python(Django),Санкт-Петербург,От 1 года до 3 лет,Полная занятость,120000
Тестировщик ПО,Санкт-Петербург,От 3 до 6 лет,Полная занятость,75000
Разработчик БПЛА,Москва,От 1 года до 3 лет,Полная занятость,175000.0
Программист-стажер,деревня Покровское,Нет опыта,Стажировка,12500.0
Junior+\middle python backend-разработчик,Ярославль,От 1 года до 3 лет,Полная занятость,150000.0
Backend разработчик (Middle),Москва,От 1 года до 3 лет,Полная занятость,120000.0
Младший разработчик Python,Ярославль,От 1 года до 3 лет,Полная занятость,105000.0
Аналитик/ Quantitative Analyst,,От 1 года до 3 лет,Полная занятость,200000
Стажер-разработчик / web-программист,Пятигорск,Нет опыта,Стажировка,30000
Разработчик Python,Ростов-на-Дону,Нет опыта,Полная занятость,55000.0
Разработчик python,Москва,От 3 до 6 лет,Полная занятость,150000.0
Middle python backend developer,Уфа,От 1 года до 3 лет,Полная занятость,140000
Junior/Middle DevOps Engineer,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,140000
